url,long_url,having_ip,having_at,having_dash,having_underbar,having_redirection,sub_domains,long_domain,similar_url,non_standard_port,is_https,is_trusted_cert,get_creation_date,get_expiration_date,isphishing
https://docs.google.com/presentation/d/e/2PACX-1vRMJsth9ygJoiMuNOiTSeLfMGnVlvWcY-vx5Z3P-tJRHfAmgichyfnaqe-H-xZZNMeMlTvrw980aMcG/pub?start=false&amp;loop=false&amp;delayms=3000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
https://verification-cloud.netlify.app/,0,0,0,1,0,0,0,0,0,0,0,0,-1,-1,1
https://cookingpastaready.com/app/app/user.php,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
https://2m.ma/ar/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
https://attmail-102272.weeblysite.com/,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
https://docs.google.com/presentation/d/e/2PACX-1vTetXrZ9ClDRXOm-Gyk2JKgGCAY12GokqYRR1fW1yaInbC7BRCo-AFD72OQyjcaCebQVAU6awpsp3Up/pub?start=false&amp;loop=false&amp;delayms=3000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
https://solucioneskinesicas.com/Sella/app/user.php,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
https://www.accouappel.accoutenness.com/,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
https://www.irs.gov/coronavirus/get-my-payment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
http://me2.do/GLSgGfnm?userid=tCCGH6sL,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
http://me2.do/GLSgGfnm?userid=W2BRBJFn,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
https://docs.google.com/presentation/d/e/2PACX-1vTkHTfbEg803_YunQkSSXbuK3_NrQX55jaVf0YwcawmbeEoXAJm8sCZyKiXTNHcxc4idDjx9DYMyKbK/pub?start=true&amp;loop=true&amp;delayms=1000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
https://docs.google.com/presentation/d/e/2PACX-1vTbCFFOYwDa8WOQRZL_wrzOZH8ceYaybAxG86DlO0RAC9hwAQQT3jcP_R3L7nNILoaFubCWDRiJ5Kgi/pub?start=false&amp;loop=false&amp;delayms=3000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
http://me2.do/GLSgGfnm?userid=UEFZL5Xd,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
http://me2.do/GLSgGfnm?userid=g73HGRc3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
https://aversachristelle32-wixsite-com.filesusr.com/html/8f0c59_a2d58908c9d9f65fb998c0da517766c7.html,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
http://me2.do/GLSgGfnm?userid=yqzl4MPs,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
http://me2.do/GLSgGfnm?userid=wBWpbAGd,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
https://workdrive.zohopublic.eu/external/f9c93c0cfe2b9199f7b43970d4b7204f409fcce6e73df1ee98545112a3d8d959,1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1
http://me2.do/GLSgGfnm?userid=p3Z1n9rd,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
https://banruralgt.muvit.travel/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
https://vtlearn.net/signin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
https://99.233.109.208.host.secureserver.net/close.html,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1
http://me2.do/GLSgGfnm?userid=le8es4bi,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
https://docs.google.com/presentation/d/e/2PACX-1vRLgnxu4_rdSwvfAK_zggMkHljVxlHpGDZC9n9KJOSZbtn0_e-ZC0vvNRmY2RO5hgcbTNEZ_zXBzrb1/pub?start=false&amp;loop=false&amp;delayms=3000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
http://me2.do/GLSgGfnm?userid=uP5vui1j,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
http://me2.do/GLSgGfnm?userid=bSKQfjqy,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
https://workdrive.zohopublic.eu/file/e9mrs24c14d0abaf34fee9c0b02b1ac0572b7,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1
http://me2.do/GLSgGfnm?userid=WlQMWtnj,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
http://me2.do/GLSgGfnm?userid=d4jSoD5s,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
http://me2.do/GLSgGfnm?userid=kPGlc8aq,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
http://me2.do/GLSgGfnm?userid=ivWMlWr8,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
http://me2.do/GLSgGfnm?userid=uTUoG6bA,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
